strain,growth_rate_ratio,mtdna_ratio,simulation_index,time,mean_h,nspl,ndau,ngen,startbud
WT and WT,1.0,1.0,11,1.48369631,0.5,5,11,14,32
WT and WT,1.0,1.0,11,2.96739262,0.4921875,5,11,14,32
WT and WT,1.0,1.0,11,4.45108893,0.4899739583333333,5,11,14,32
WT and WT,1.0,1.0,11,5.93478524,0.4914713541666666,5,11,14,32
WT and WT,1.0,1.0,11,7.41848155,0.48974609375,5,11,14,32
WT and WT,1.0,1.0,11,8.90217786,0.4903971354166667,5,11,14,32
WT and WT,1.0,1.0,11,10.38587417,0.4900553385416666,5,11,14,32
WT and WT,1.0,1.0,11,11.86957048,0.4904744466145833,5,11,14,32
WT and WT,1.0,1.0,11,13.35326679,0.4901570638020833,5,11,14,32
WT and WT,1.0,1.0,11,14.8369631,0.4901774088541666,5,11,14,32
WT and WT,1.0,1.0,11,16.32065941,0.4901987711588542,5,11,14,32
WT and WT,1.0,1.0,11,17.80435572,0.4901214599609375,5,11,14,32
WT and WT,1.0,1.0,11,19.28805203,0.4900160471598307,5,11,14,32
WT and WT,1.0,1.0,11,20.77174834,0.490005620320638,5,11,14,32
WT and WT,1.0,1.0,12,0.0,0.5,5,11,14,32
WT and WT,1.0,1.0,12,1.48369631,0.5026041666666666,5,11,14,32
WT and WT,1.0,1.0,12,2.96739262,0.5106770833333333,5,11,14,32
WT and WT,1.0,1.0,12,4.45108893,0.5053385416666667,5,11,14,32
WT and WT,1.0,1.0,12,5.93478524,0.4999348958333333,5,11,14,32
WT and WT,1.0,1.0,12,7.41848155,0.49931640625,5,11,14,32
WT and WT,1.0,1.0,12,8.90217786,0.5005208333333333,5,11,14,32
WT and WT,1.0,1.0,12,10.38587417,0.5001871744791667,5,11,14,32
WT and WT,1.0,1.0,12,11.86957048,0.4993448893229166,5,11,14,32
WT and WT,1.0,1.0,12,13.35326679,0.4990885416666666,5,11,14,32
WT and WT,1.0,1.0,12,14.8369631,0.4993072509765625,5,11,14,32
WT and WT,1.0,1.0,12,16.32065941,0.4991465250651041,5,11,14,32
WT and WT,1.0,1.0,12,17.80435572,0.4990498860677083,5,11,14,32
WT and WT,1.0,1.0,12,19.28805203,0.4989808400472005,5,11,14,32
WT and WT,1.0,1.0,12,20.77174834,0.4990262349446615,5,11,14,32
WT and WT,1.0,1.0,13,0.0,0.5,5,11,14,32
WT and WT,1.0,1.0,13,1.48369631,0.5005208333333333,5,11,14,32
WT and WT,1.0,1.0,13,2.96739262,0.4950520833333333,5,11,14,32
WT and WT,1.0,1.0,13,4.45108893,0.48984375,5,11,14,32
WT and WT,1.0,1.0,13,5.93478524,0.4897786458333333,5,11,14,32
WT and WT,1.0,1.0,13,7.41848155,0.48857421875,5,11,14,32
WT and WT,1.0,1.0,13,8.90217786,0.4886555989583333,5,11,14,32
WT and WT,1.0,1.0,13,10.38587417,0.4877278645833333,5,11,14,32
WT and WT,1.0,1.0,13,11.86957048,0.487890625,5,11,14,32
WT and WT,1.0,1.0,13,13.35326679,0.4878072102864583,5,11,14,32
WT and WT,1.0,1.0,13,14.8369631,0.4872487386067708,5,11,14,32
WT and WT,1.0,1.0,13,16.32065941,0.4875,5,11,14,32
WT and WT,1.0,1.0,13,17.80435572,0.4873845418294271,5,11,14,32
WT and WT,1.0,1.0,13,19.28805203,0.4874562581380208,5,11,14,32
WT and WT,1.0,1.0,13,20.77174834,0.4875082651774088,5,11,14,32
WT and WT,1.0,1.0,14,0.0,0.5,5,11,14,32
WT and WT,1.0,1.0,14,1.48369631,0.4989583333333333,5,11,14,32
WT and WT,1.0,1.0,14,2.96739262,0.5020833333333333,5,11,14,32
WT and WT,1.0,1.0,14,4.45108893,0.5045572916666666,5,11,14,32
WT and WT,1.0,1.0,14,5.93478524,0.5001953125,5,11,14,32
WT and WT,1.0,1.0,14,7.41848155,0.49921875,5,11,14,32
WT and WT,1.0,1.0,14,8.90217786,0.4998860677083333,5,11,14,32
WT and WT,1.0,1.0,14,10.38587417,0.4998616536458333,5,11,14,32
WT and WT,1.0,1.0,14,11.86957048,0.4994303385416667,5,11,14,32
WT and WT,1.0,1.0,14,13.35326679,0.498944091796875,5,11,14,32
WT and WT,1.0,1.0,14,14.8369631,0.4992930094401042,5,11,14,32
WT and WT,1.0,1.0,14,16.32065941,0.4991017659505208,5,11,14,32
WT and WT,1.0,1.0,14,17.80435572,0.4991223653157552,5,11,14,32
WT and WT,1.0,1.0,14,19.28805203,0.4990605672200521,5,11,14,32
WT and WT,1.0,1.0,14,20.77174834,0.4990561803181966,5,11,14,32
WT and WT,1.0,1.0,15,0.0,0.5,5,11,14,32
WT and WT,1.0,1.0,15,1.48369631,0.5026041666666666,5,11,14,32
WT and WT,1.0,1.0,15,2.96739262,0.5046875,5,11,14,32
WT and WT,1.0,1.0,15,4.45108893,0.500390625,5,11,14,32
WT and WT,1.0,1.0,15,5.93478524,0.4994791666666666,5,11,14,32
WT and WT,1.0,1.0,15,7.41848155,0.4975260416666666,5,11,14,32
WT and WT,1.0,1.0,15,8.90217786,0.4966471354166666,5,11,14,32
WT and WT,1.0,1.0,15,10.38587417,0.4964762369791666,5,11,14,32
WT and WT,1.0,1.0,15,11.86957048,0.4969930013020833,5,11,14,32
WT and WT,1.0,1.0,15,13.35326679,0.4967142740885417,5,11,14,32
WT and WT,1.0,1.0,15,14.8369631,0.4965016682942708,5,11,14,32
WT and WT,1.0,1.0,15,16.32065941,0.4966420491536458,5,11,14,32
WT and WT,1.0,1.0,15,17.80435572,0.4968419392903646,5,11,14,32
WT and WT,1.0,1.0,15,19.28805203,0.4967915852864583,5,11,14,32
WT and WT,1.0,1.0,15,20.77174834,0.4968214670817057,5,11,14,32
WT and WT,1.0,1.0,16,0.0,0.5,5,11,14,32
WT and WT,1.0,1.0,16,1.48369631,0.5010416666666667,5,11,14,32
WT and WT,1.0,1.0,16,2.96739262,0.5059895833333333,5,11,14,32
WT and WT,1.0,1.0,16,4.45108893,0.5020833333333333,5,11,14,32
WT and WT,1.0,1.0,16,5.93478524,0.4966145833333333,5,11,14,32
WT and WT,1.0,1.0,16,7.41848155,0.49755859375,5,11,14,32
WT and WT,1.0,1.0,16,8.90217786,0.5,5,11,14,32
WT and WT,1.0,1.0,16,10.38587417,0.4998128255208333,5,11,14,32
WT and WT,1.0,1.0,16,11.86957048,0.4999104817708333,5,11,14,32
WT and WT,1.0,1.0,16,13.35326679,0.499505615234375,5,11,14,32
WT and WT,1.0,1.0,16,14.8369631,0.4990203857421875,5,11,14,32
WT and WT,1.0,1.0,16,16.32065941,0.4985524495442708,5,11,14,32
WT and WT,1.0,1.0,16,17.80435572,0.4987297058105469,5,11,14,32
WT and WT,1.0,1.0,16,19.28805203,0.4988512674967448,5,11,14,32
WT and WT,1.0,1.0,16,20.77174834,0.498810068766276,5,11,14,32
WT and WT,1.0,1.0,17,0.0,0.5,5,11,14,32
WT and WT,1.0,1.0,17,1.48369631,0.5005208333333333,5,11,14,32
WT and WT,1.0,1.0,17,2.96739262,0.5049479166666667,5,11,14,32
WT and WT,1.0,1.0,17,4.45108893,0.50390625,5,11,14,32
WT and WT,1.0,1.0,17,5.93478524,0.5098958333333333,5,11,14,32
WT and WT,1.0,1.0,17,7.41848155,0.5115234375,5,11,14,32
WT and WT,1.0,1.0,17,8.90217786,0.508837890625,5,11,14,32
WT and WT,1.0,1.0,17,10.38587417,0.5081217447916667,5,11,14,32
WT and WT,1.0,1.0,17,11.86957048,0.5085205078125,5,11,14,32
WT and WT,1.0,1.0,17,13.35326679,0.5090128580729166,5,11,14,32
WT and WT,1.0,1.0,17,14.8369631,0.5094014485677083,5,11,14,32
WT and WT,1.0,1.0,17,16.32065941,0.509374491373698,5,11,14,32
WT and WT,1.0,1.0,17,17.80435572,0.5094289143880208,5,11,14,32
WT and WT,1.0,1.0,17,19.28805203,0.5094539642333984,5,11,14,32
WT and WT,1.0,1.0,17,20.77174834,0.5094975789388021,5,11,14,32
WT and WT,1.0,1.0,18,0.0,0.5,5,11,14,32
WT and WT,1.0,1.0,18,1.48369631,0.5072916666666667,5,11,14,32
WT and WT,1.0,1.0,18,2.96739262,0.5075520833333333,5,11,14,32
WT and WT,1.0,1.0,18,4.45108893,0.5096354166666667,5,11,14,32
WT and WT,1.0,1.0,18,5.93478524,0.5120442708333334,5,11,14,32
WT and WT,1.0,1.0,18,7.41848155,0.5094075520833333,5,11,14,32
WT and WT,1.0,1.0,18,8.90217786,0.510302734375,5,11,14,32
WT and WT,1.0,1.0,18,10.38587417,0.5114664713541667,5,11,14,32
WT and WT,1.0,1.0,18,11.86957048,0.5117838541666667,5,11,14,32
WT and WT,1.0,1.0,18,13.35326679,0.5118550618489583,5,11,14,32
WT and WT,1.0,1.0,18,14.8369631,0.511468505859375,5,11,14,32
WT and WT,1.0,1.0,18,16.32065941,0.5117574055989583,5,11,14,32
WT and WT,1.0,1.0,18,17.80435572,0.5118451436360677,5,11,14,32
WT and WT,1.0,1.0,18,19.28805203,0.5118091583251954,5,11,14,32
WT and WT,1.0,1.0,18,20.77174834,0.5118328730265299,5,11,14,32
WT and WT,1.0,1.0,19,0.0,0.5,5,11,14,32
WT and WT,1.0,1.0,19,1.48369631,0.5067708333333333,5,11,14,32
WT and WT,1.0,1.0,19,2.96739262,0.5078125,5,11,14,32
WT and WT,1.0,1.0,19,4.45108893,0.507421875,5,11,14,32
WT and WT,1.0,1.0,19,5.93478524,0.5060546875,5,11,14,32
WT and WT,1.0,1.0,19,7.41848155,0.50703125,5,11,14,32
WT and WT,1.0,1.0,19,8.90217786,0.5069986979166666,5,11,14,32
WT and WT,1.0,1.0,19,10.38587417,0.5070231119791667,5,11,14,32
WT and WT,1.0,1.0,19,11.86957048,0.5068603515625,5,11,14,32
WT and WT,1.0,1.0,19,13.35326679,0.507415771484375,5,11,14,32
WT and WT,1.0,1.0,19,14.8369631,0.5069651285807292,5,11,14,32
WT and WT,1.0,1.0,19,16.32065941,0.5067214965820312,5,11,14,32
WT and WT,1.0,1.0,19,17.80435572,0.5066162109375,5,11,14,32
WT and WT,1.0,1.0,19,19.28805203,0.5067161560058594,5,11,14,32
WT and WT,1.0,1.0,19,20.77174834,0.5067397435506185,5,11,14,32
WT and WT,1.0,1.0,20,0.0,0.5,5,11,14,32
WT and WT,1.0,1.0,20,1.48369631,0.4984375,5,11,14,32
WT and WT,1.0,1.0,20,2.96739262,0.4979166666666667,5,11,14,32
WT and WT,1.0,1.0,20,4.45108893,0.49765625,5,11,14,32
WT and WT,1.0,1.0,20,5.93478524,0.49765625,5,11,14,32
WT and WT,1.0,1.0,20,7.41848155,0.4982421875,5,11,14,32
WT and WT,1.0,1.0,20,8.90217786,0.4962727864583333,5,11,14,32
WT and WT,1.0,1.0,20,10.38587417,0.4951334635416666,5,11,14,32
WT and WT,1.0,1.0,20,11.86957048,0.49564208984375,5,11,14,32
WT and WT,1.0,1.0,20,13.35326679,0.4952229817708333,5,11,14,32
WT and WT,1.0,1.0,20,14.8369631,0.49527587890625,5,11,14,32
WT and WT,1.0,1.0,20,16.32065941,0.4954081217447916,5,11,14,32
WT and WT,1.0,1.0,20,17.80435572,0.4951741536458333,5,11,14,32
WT and WT,1.0,1.0,20,19.28805203,0.4952208201090495,5,11,14,32
WT and WT,1.0,1.0,20,20.77174834,0.4951568603515625,5,11,14,32
WT and WT,1.0,1.0,21,0.0,0.5,5,11,14,32
WT and WT,1.0,1.0,21,1.48369631,0.5026041666666666,5,11,14,32
WT and WT,1.0,1.0,21,2.96739262,0.4963541666666666,5,11,14,32
WT and WT,1.0,1.0,21,4.45108893,0.4953125,5,11,14,32
WT and WT,1.0,1.0,21,5.93478524,0.4940755208333333,5,11,14,32
WT and WT,1.0,1.0,21,7.41848155,0.4944986979166667,5,11,14,32
WT and WT,1.0,1.0,21,8.90217786,0.49482421875,5,11,14,32
WT and WT,1.0,1.0,21,10.38587417,0.4965250651041666,5,11,14,32
WT and WT,1.0,1.0,21,11.86957048,0.4976643880208333,5,11,14,32
WT and WT,1.0,1.0,21,13.35326679,0.4976704915364583,5,11,14,32
WT and WT,1.0,1.0,21,14.8369631,0.4978352864583333,5,11,14,32
WT and WT,1.0,1.0,21,16.32065941,0.4977945963541667,5,11,14,32
WT and WT,1.0,1.0,21,17.80435572,0.4979710896809896,5,11,14,32
WT and WT,1.0,1.0,21,19.28805203,0.498080825805664,5,11,14,32
WT and WT,1.0,1.0,21,20.77174834,0.4980972290039062,5,11,14,32
WT and WT,1.0,1.0,22,0.0,0.5,5,11,14,32
WT and WT,1.0,1.0,22,1.48369631,0.5015625,5,11,14,32
WT and WT,1.0,1.0,22,2.96739262,0.5072916666666667,5,11,14,32
WT and WT,1.0,1.0,22,4.45108893,0.511328125,5,11,14,32
WT and WT,1.0,1.0,22,5.93478524,0.51171875,5,11,14,32
WT and WT,1.0,1.0,22,7.41848155,0.5087239583333333,5,11,14,32
WT and WT,1.0,1.0,22,8.90217786,0.5084635416666666,5,11,14,32
WT and WT,1.0,1.0,22,10.38587417,0.5080078125,5,11,14,32
WT and WT,1.0,1.0,22,11.86957048,0.50750732421875,5,11,14,32
WT and WT,1.0,1.0,22,13.35326679,0.507659912109375,5,11,14,32
WT and WT,1.0,1.0,22,14.8369631,0.5075185139973958,5,11,14,32
WT and WT,1.0,1.0,22,16.32065941,0.5076400756835937,5,11,14,32
WT and WT,1.0,1.0,22,17.80435572,0.5078018188476563,5,11,14,32
WT and WT,1.0,1.0,22,19.28805203,0.507757822672526,5,11,14,32
WT and WT,1.0,1.0,22,20.77174834,0.5077237447102865,5,11,14,32
WT and WT,1.0,1.0,23,0.0,0.5,5,11,14,32
WT and WT,1.0,1.0,23,1.48369631,0.4984375,5,11,14,32
WT and WT,1.0,1.0,23,2.96739262,0.50390625,5,11,14,32
WT and WT,1.0,1.0,23,4.45108893,0.504296875,5,11,14,32
WT and WT,1.0,1.0,23,5.93478524,0.5076171875,5,11,14,32
WT and WT,1.0,1.0,23,7.41848155,0.5083333333333333,5,11,14,32
WT and WT,1.0,1.0,23,8.90217786,0.5082194010416666,5,11,14,32
WT and WT,1.0,1.0,23,10.38587417,0.50830078125,5,11,14,32
WT and WT,1.0,1.0,23,11.86957048,0.50775146484375,5,11,14,32
WT and WT,1.0,1.0,23,13.35326679,0.5082234700520833,5,11,14,32
WT and WT,1.0,1.0,23,14.8369631,0.5083231608072917,5,11,14,32
WT and WT,1.0,1.0,23,16.32065941,0.5083719889322916,5,11,14,32
WT and WT,1.0,1.0,23,17.80435572,0.508556620279948,5,11,14,32
WT and WT,1.0,1.0,23,19.28805203,0.5086196899414063,5,11,14,32
WT and WT,1.0,1.0,23,20.77174834,0.5086401621500651,5,11,14,32
WT and WT,1.0,1.0,24,0.0,0.5,5,11,14,32
WT and WT,1.0,1.0,24,1.48369631,0.4911458333333333,5,11,14,32
WT and WT,1.0,1.0,24,2.96739262,0.49296875,5,11,14,32
WT and WT,1.0,1.0,24,4.45108893,0.4946614583333333,5,11,14,32
