strain,growth_rate_ratio,mtdna_ratio,simulation_index,time,mean_h,nspl,ndau,ngen,startbud
WT and WT,1.0,0.6,1,5.93478524,0.37734375,5,11,14,32
WT and WT,1.0,0.6,1,7.41848155,0.38203125,5,11,14,32
WT and WT,1.0,0.6,1,8.90217786,0.38232421875,5,11,14,32
WT and WT,1.0,0.6,1,10.385874170000001,0.383984375,5,11,14,32
WT and WT,1.0,0.6,1,11.86957048,0.3855712890625,5,11,14,32
WT and WT,1.0,0.6,1,13.35326679,0.38544921875,5,11,14,32
WT and WT,1.0,0.6,1,14.8369631,0.38448486328125,5,11,14,32
WT and WT,1.0,0.6,1,16.32065941,0.3836883544921875,5,11,14,32
WT and WT,1.0,0.6,1,17.80435572,0.38342742919921874,5,11,14,32
WT and WT,1.0,0.6,1,19.28805203,0.38332672119140626,5,11,14,32
WT and WT,1.0,0.6,1,20.771748340000002,0.383380126953125,5,11,14,32
WT and WT,1.0,0.5,0,0.0,0.34375,5,11,14,32
WT and WT,1.0,0.5,0,1.48369631,0.3125,5,11,14,32
WT and WT,1.0,0.5,0,2.96739262,0.3015625,5,11,14,32
WT and WT,1.0,0.5,0,4.45108893,0.30859375,5,11,14,32
WT and WT,1.0,0.5,0,5.93478524,0.31328125,5,11,14,32
WT and WT,1.0,0.5,0,7.41848155,0.3078125,5,11,14,32
WT and WT,1.0,0.5,0,8.90217786,0.30576171875,5,11,14,32
WT and WT,1.0,0.5,0,10.385874170000001,0.2990234375,5,11,14,32
WT and WT,1.0,0.5,0,11.86957048,0.2996337890625,5,11,14,32
WT and WT,1.0,0.5,0,13.35326679,0.29884033203125,5,11,14,32
WT and WT,1.0,0.5,0,14.8369631,0.29935302734375,5,11,14,32
WT and WT,1.0,0.5,0,16.32065941,0.29989013671875,5,11,14,32
WT and WT,1.0,0.5,0,17.80435572,0.300469970703125,5,11,14,32
WT and WT,1.0,0.5,0,19.28805203,0.30053024291992186,5,11,14,32
WT and WT,1.0,0.5,0,20.771748340000002,0.3006904602050781,5,11,14,32
WT and WT,1.0,0.5,1,0.0,0.34375,5,11,14,32
WT and WT,1.0,0.5,1,1.48369631,0.321875,5,11,14,32
WT and WT,1.0,0.5,1,2.96739262,0.3140625,5,11,14,32
WT and WT,1.0,0.5,1,4.45108893,0.321875,5,11,14,32
WT and WT,1.0,0.5,1,5.93478524,0.326171875,5,11,14,32
WT and WT,1.0,0.5,1,7.41848155,0.320703125,5,11,14,32
WT and WT,1.0,0.5,1,8.90217786,0.323828125,5,11,14,32
WT and WT,1.0,0.5,1,10.385874170000001,0.324560546875,5,11,14,32
WT and WT,1.0,0.5,1,11.86957048,0.327001953125,5,11,14,32
WT and WT,1.0,0.5,1,13.35326679,0.32613525390625,5,11,14,32
WT and WT,1.0,0.5,1,14.8369631,0.32698974609375,5,11,14,32
WT and WT,1.0,0.5,1,16.32065941,0.3277740478515625,5,11,14,32
